0,1
comment,851647
figures,459969
model,408950
field,277877
time,256679
data,255877
energy,253806
quantum,240485
theory,238250
paper,236777
study,221506
based,214349
system,206524
order,193111
mass,190418
state,190310
space,180987
high,180908
models,179240
large,175950
method,170777
well,167666
function,165360
number,163245
phase,161812
find,159474
systems,158221
problem,154654
case,149000
spin,147553
properties,144345
dimensional,143479
density,142956
structure,142753
magnetic,140594
states,137041
analysis,134193
low,132159
version,131340
approach,125637
temperature,122216
type,117776
observed,115439
general,114525
finite,114280
set,113998
distribution,112382
three,111056
result,110758
functions,107531
linear,104778
point,103539
equation,103345
group,101550
small,99625
accepted,99556
terms,99020
range,98403
parameters,97895
single,97566
form,97220
proposed,96610
algorithm,95819
equations,95612
potential,95290
local,94657
work,94204
scale,94090
ray,92343
solutions,90762
prove,90672
transition,90663
consider,90012
dynamics,89699
limit,87970
appear,87865
effects,87764
matter,87306
parameter,86914
provide,86897
gamma,86620
fields,85528
surface,85340
power,84449
methods,83704
rate,83701
conditions,83181
class,83002
galaxies,82748
standard,82721
process,82500
discuss,81900
numerical,81475
spectrum,81063
simple,80805
wave,80454
strong,80226
light,80226
solution,80053
physics,79702
star,79401
presented,78899
coupling,78781
stars,78586
level,78132
particle,78110
effective,77593
emission,77399
evolution,76869
interaction,76476
symmetry,76348
network,76058
classical,75869
matrix,75450
lattice,75430
experimental,75101
optical,74160
including,74014
electron,73866
current,73403
observations,73228
free,71994
simulations,71518
associated,71334
published,71272
random,71214
gauge,71204
values,71132
times,70494
second,69847
measurements,69825
investigate,69801
size,69799
propose,68508
critical,67515
corresponding,67363
studied,67013
complex,66395
alpha,66148
constant,65958
framework,65901
gas,65866
black,65728
higher,65693
formation,65609
physical,65242
region,64955
spectral,63831
scattering,63688
publication,63224
behavior,63047
experiments,62326
latex,62120
real,61907
long,61505
main,61100
particles,60856
interactions,60718
consistent,60480
bound,60363
boundary,60046
problems,59935
pi,59849
demonstrate,59325
source,59178
frequency,58329
dark,58272
approximation,58214
previous,58181
phys,57925
galaxy,57876
applications,57617
performance,57598
compared,57367
decay,57337
theoretical,57319
networks,56729
derived,56338
quark,55524
velocity,55325
discussed,55102
correlation,54693
scalar,54663
graph,54371
hole,53922
dependence,53916
sample,53830
allows,53799
lower,53602
submitted,53570
algebra,53513
spectra,53370
arxiv,53348
existence,53248
processes,53212
applied,53156
momentum,53123
presence,52889
mathbb,52787
derive,52594
considered,52547
cluster,52328
theorem,52302
probability,51940
flow,51668
initial,51500
features,51299
vector,51130
cases,51001
measure,50640
independent,50552
groups,50456
weak,50225
sources,50224
describe,50175
dependent,49967
ratio,49950
figure,49853
finally,49806
charge,49682
scheme,49622
fixed,49570
mu,49541
optimal,49533
structures,49363
stellar,49023
dynamical,48930
delta,48729
changes,48725
cross,48660
defined,48572
calculations,48357
lambda,47865
factor,47693
relation,47461
band,47074
algorithms,47050
invariant,46764
points,46757
total,46750
noise,46664
control,46521
induced,46370
operators,46355
flux,46265
constraints,46106
measured,45938
multi,45841
thermal,45760
extended,45750
neutrino,45597
production,45443
distance,45368
operator,45304
background,45123
corrections,45007
masses,44841
dimension,44839
theories,44761
topological,44586
sigma,44546
gravity,44303
called,44223
motion,44187
length,44111
generalized,44008
minor,43815
channel,43554
modes,43513
distributions,43452
radio,43117
corrected,43038
spaces,43017
text,43013
resolution,42992
signal,42949
gravitational,42877
positive,42866
nonlinear,42844
multiple,42778
symmetric,42667
exact,42610
detection,42598
error,42484
action,42393
rm,42382
component,42360
complete,42261
determine,42198
condition,42132
mechanism,42091
term,41948
photon,41905
coupled,41827
clusters,41805
plane,41789
techniques,41742
dimensions,41625
differential,41600
examples,41531
references,41514
spatial,41453
studies,41442
proceedings,41417
compact,41328
introduce,41088
agreement,41062
application,40997
example,40937
described,40933
disk,40922
full,40859
regime,40679
series,40616
special,40595
mode,40581
law,40550
expected,40494
addition,40290
technique,40193
report,40027
construct,39940
leads,39888
regions,39862
nuclear,39747
objects,39584
al,39510
arbitrary,39426
mathcal,39352
final,39189
representation,39105
review,39059
contribution,39051
respect,39037
global,39028
larger,39018
statistical,38962
fluctuations,38901
degree,38855
proof,38845
developed,38758
bar,38631
string,38627
central,38604
determined,38587
expansion,38552
geometry,38552
domain,38504
gev,38452
higgs,38427
role,38368
open,38331
estimate,38235
loop,38212
ii,38189
stable,38037
test,37990
specific,37974
direct,37944
account,37873
investigated,37772
ground,37770
measurement,37770
description,37704
simulation,37703
leading,37694
scaling,37630
sets,37626
novel,37572
graphs,37544
solar,37544
http,37540
beta,37477
massive,37462
cosmological,37448
short,37285
transport,37246
equilibrium,37235
tables,37156
qcd,37089
upper,37011
metric,36982
good,36916
entropy,36872
conference,36870
maximum,36746
journal,36745
continuous,36570
body,36442
generated,36407
heavy,36384
fundamental,36290
learning,36267
bounds,36264
introduced,36111
additional,36032
universe,35906
omega,35861
natural,35782
efficient,35718
stochastic,35602
energies,35477
radiation,35429
evidence,35338
calculated,35260
luminosity,35165
context,35147
asymptotic,35095
explicit,35011
relativistic,34915
components,34886
design,34812
average,34778
stability,34715
rev,34714
molecular,34700
pair,34688
compute,34684
close,34630
sequence,34617
discrete,34602
relative,34534
calculate,34529
binary,34500
gap,34493
sim,34383
neutron,34148
functional,33769
scales,33607
nature,33585
infinite,33584
correlations,33508
predictions,33392
rates,33243
future,33232
gaussian,33192
lines,33118
chiral,33088
formula,33060
elements,32941
variables,32912
search,32890
angular,32813
log,32580
analyze,32576
